state_name,district_name,block_tehsil_name,village_name,ref_village_type_name,major_medium_scheme,major_medium_scheme_name,geographical_area,cultivable_area,net_sown_area,gross_irrigated_area_kharif_season,gross_irrigated_area_rabi_season,gross_irrigated_area_perennial_season,gross_irrigated_area_other_season,gross_irrigated_area_total,net_irrigated_area,avg_ground_water_level_pre_monsoon,avg_ground_water_level_post_monsoon,ref_selection_wua_exists_name
TAMIL NADU,NAGAPATTINAM,VEDARNIYAM,SEMBODAI,Non-Tribal,No,NA,975,852,832,0,3,3,0,6,6,6,7,Not Known
TAMIL NADU,NAGAPATTINAM,VEDARNIYAM,NEIVILAKU,Non-Tribal,No,NA,360,213,147,0,13,2,0,15,15,2,5,Not Known
TAMIL NADU,NAGAPATTINAM,THALAINAYAR,UMPALACHERI,Non-Tribal,No,NA,563,375,362,233,129,13,0,375,362,1,4,No
TAMIL NADU,TIRUNELVELI,KALAKAD,MELA MALAIYANERI,Non-Tribal,No,NA,5948,450,203,70,90,43,0,203,203,30,30,No
TAMIL NADU,TIRUNELVELI,KALAKAD,TIRUVARANGANERI,Non-Tribal,No,NA,1785,1050,268,15,25,18,0,58,58,10,10,No
TAMIL NADU,TIRUNELVELI,KALAKAD,ALANGULAM,Non-Tribal,No,NA,1498,519,356,14,19,2,0,35,35,10,10,No
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,KARUPPANDURAI,Non-Tribal,No,NA,95,92,41,16,10,0,15,41,41,10,16,Yes
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,MELAPALAYAM,Non-Tribal,No,NA,543,383,152,1,0,1,0,2,2,5,5,Not Known
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,KULAVANIGARPURAM,Non-Tribal,No,NA,287,147,72,12,51,9,0,72,72,12,12,No
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,NADUKKAMUDAIYARKULAM,Non-Tribal,No,NA,90,70,50,0,0,50,0,50,50,15,19,Yes
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,THIMMARAJAPURAM,Non-Tribal,No,NA,303,218,151,30,15,106,0,151,151,15,18,Yes
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,VELLAKOIL,Non-Tribal,No,NA,213,198,196,195,0,1,0,196,196,10,14,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,ALAMELUPURAM,Non-Tribal,No,NA,654,325,247,100,50,50,30,230,230,65,75,No
TAMIL NADU,THANJAVUR,THIRUVONAM,KAVALI PATTI,Non-Tribal,No,NA,788,643,410,140,140,60,0,340,340,10,10,Not Known
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,BOTHAKADU,Non-Tribal,No,NA,150,100,85,45,20,10,10,85,85,25,30,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,B.PALLIPATTI,Non-Tribal,No,NA,245,160,120,40,40,10,30,120,120,50,60,No
TAMIL NADU,MADURAI,MADURAI WEST,PODUMBU BIT I,Non-Tribal,No,NA,33,27,27,19,6,2,0,27,27,3,7,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,GOUNDAMPATTI,Tribal,No,NA,154,144,15,10,5,0,0,15,15,10,15,Yes
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,PAALAYAMKOTTAI III,Non-Tribal,No,NA,256,130,42,20,20,2,0,42,42,1,1,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,MANJAVADI,Non-Tribal,No,NA,154,144,80,40,30,10,0,80,80,24,25,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,MADATHAHALLI,Non-Tribal,No,NA,145,100,80,40,40,0,0,80,80,25,30,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,GUNDALAMADUVU,Non-Tribal,No,NA,150,50,40,20,20,0,0,40,40,20,21,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,KOZHIMEKKANUR,Non-Tribal,No,NA,140,100,80,40,20,20,0,80,80,25,30,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,SINGIRIHALLI,Non-Tribal,No,NA,256,198,150,60,20,10,10,100,100,25,30,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,MALLAPURAM,Non-Tribal,No,NA,100,80,50,15,15,10,10,50,50,8,9,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,ELANTHAKUTTAPATTI,Non-Tribal,No,NA,150,100,80,40,20,20,0,80,80,10,15,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,CHINNAMANJAVADI,Non-Tribal,No,NA,134,100,98,74,10,14,0,98,98,25,30,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,BUDDIREDDIPATTI,Non-Tribal,No,NA,150,100,90,45,45,0,0,90,90,24,25,No
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,BOMMIDI,Non-Tribal,No,NA,234,190,155,80,50,20,5,155,155,30,45,Yes
TAMIL NADU,DHARMAPURI,PAPPIREDDIPATTY,KOKKARAPATTI,Non-Tribal,No,NA,180,150,120,80,40,0,0,120,120,10,20,No
TAMIL NADU,COIMBATORE,KINATHUKADAVU,KURUNALLIPALAYAM,Tribal,Yes,PAP,828,485,485,62,62,350,11,485,485,100,100,No
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,VELLALAVAYAL,Non-Tribal,No,NA,249,112,93,0,93,0,0,93,93,45,50,No
TAMIL NADU,TIRUNELVELI,KALAKAD,OOCHIKULAM,Non-Tribal,No,NA,3043,1021,866,40,40,9,0,89,89,15,15,No
TAMIL NADU,TIRUNELVELI,KALAKAD,MAKILADI,Non-Tribal,No,NA,352,281,265,68,133,60,0,261,261,18,18,No
TAMIL NADU,THE NILGIRIS,COONOOR,MELUR - II,Tribal,No,NA,10932,10788,980,5,5,970,0,980,980,5,5,No
TAMIL NADU,VELLORE,PERNAMBUT,DEVALAPURAM,Non-Tribal,No,NA,138,78,68,9,4,54,0,67,67,1,2,No
TAMIL NADU,THANJAVUR,THIRUPANANDAL,KATTANAGARAM,Non-Tribal,No,NA,211,184,176,59,114,42,0,215,170,30,45,No
TAMIL NADU,KANYAKUMARI,AGASTEESWARAM,ALAGAPPAPURAM,Non-Tribal,No,NA,733,509,509,10,0,373,0,383,383,8,10,Yes
TAMIL NADU,THANJAVUR,KUMBAKONAM,KOVILACHERY,Non-Tribal,No,NA,242,150,144,28,130,1,0,159,138,22,27,No
TAMIL NADU,KANYAKUMARI,AGASTEESWARAM,KOTTARAM EAST,Non-Tribal,No,NA,616,325,325,0,67,169,0,236,236,8,10,Yes
TAMIL NADU,NAGAPATTINAM,THALAINAYAR,KOVILPATHI,Non-Tribal,No,NA,56,32,31,0,0,12,0,12,12,8,10,No
TAMIL NADU,VIRUDHUNAGAR,WATRAP,KALATHUR,Non-Tribal,Yes,KALATHUR KANMAI,610,474,88,10,5,1,6,22,15,20,20,Yes
TAMIL NADU,VIRUDHUNAGAR,WATRAP,NAICKENPATTI.R,Non-Tribal,Yes,PATTI KANAMI,642,175,150,85,50,30,10,175,150,15,20,No
TAMIL NADU,ARIYALUR,JAYANKONDAM,KATTAGARAM(S),Non-Tribal,No,NA,593,504,302,120,122,40,20,302,302,100,70,No
TAMIL NADU,ARIYALUR,JAYANKONDAM,PERIYAVALAYAM,Non-Tribal,No,NA,1043,914,603,49,31,400,35,515,515,91,95,No
TAMIL NADU,NAGAPATTINAM,THALAINAYAR,NALUVETHAPATHI,Non-Tribal,No,NA,95,76,75,0,0,25,0,25,25,2,8,No
TAMIL NADU,NAGAPATTINAM,VEDARNIYAM,ANDAGATHURAI,Non-Tribal,No,NA,341,316,299,29,0,82,0,111,111,6,8,No
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,THIRAPPIDINGI,Non-Tribal,No,NA,185,51,33,0,33,0,0,33,33,15,20,No
TAMIL NADU,THANJAVUR,BUDHALUR,THOGUR,Non-Tribal,No,NA,730,220,182,0,173,9,0,182,182,20,50,No
TAMIL NADU,VELLORE,ARCOT,KATHIYAVADI,Non-Tribal,No,NA,713,564,189,23,57,85,0,165,165,19,25,Yes
TAMIL NADU,VILLUPPURAM,KALLAKURICHI,KALLERIKUPPAM,Non-Tribal,No,NA,234,165,134,90,90,0,0,180,90,7,18,No
TAMIL NADU,VELLORE,GUDIYATHAM,RAMALAI,Tribal,Yes,RAMALAI,680,530,530,200,230,80,20,530,530,30,60,No
TAMIL NADU,SALEM,THALAIVASAL,PULIYANKURICHI,Non-Tribal,No,NA,1380,1137,838,500,200,100,38,838,838,5,10,Not Known
TAMIL NADU,VELLORE,GUDIYATHAM,KALLAPADI,Tribal,Yes,KALLAPADI,1153,630,630,300,300,30,0,630,630,30,60,No
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,PUDUVETTIVAYAL,Non-Tribal,No,NA,98,32,32,8,8,8,8,32,32,15,15,Yes
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,AMARADAKKI,Non-Tribal,No,NA,300,126,126,0,126,0,0,126,126,15,15,No
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,VELUVOOR,Non-Tribal,No,NA,116,28,28,0,28,0,0,28,28,15,15,No
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,SIRUVELI,Non-Tribal,No,NA,78,25,25,0,25,0,0,25,25,15,15,No
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,ANAGAM,Tribal,No,NA,370,115,106,50,50,6,0,106,106,15,15,No
TAMIL NADU,VELLORE,GUDIYATHAM,SEMPALLI,Tribal,No,NA,579,303,303,303,60,0,168,531,303,45,90,Yes
TAMIL NADU,SALEM,THALAIVASAL,KAVARPANAI,Non-Tribal,No,NA,641,402,280,150,100,10,20,280,280,10,15,Not Known
TAMIL NADU,THANJAVUR,BUDHALUR,PUDUKKUDI NORTH,Non-Tribal,No,NA,1203,643,449,0,449,0,0,449,449,10,12,No
TAMIL NADU,SALEM,THALAIVASAL,PINNANUR,Non-Tribal,No,NA,623,532,327,200,100,0,27,327,327,10,15,Not Known
TAMIL NADU,SALEM,GANGAVALLI,GANGAVALLI SOUTH,Non-Tribal,No,NA,887,762,296,143,127,14,12,296,296,12,18,No
TAMIL NADU,TIRUNELVELI,KALAKAD,KALAKAD PART I,Non-Tribal,No,NA,766,353,342,70,257,12,3,342,342,8,12,No
TAMIL NADU,TIRUNELVELI,KALAKAD,SOORANKUDI,Non-Tribal,No,NA,639,462,184,64,100,9,11,184,179,20,40,Yes
TAMIL NADU,KRISHNAGIRI,BARUGUR,SIGARLAPALLI,Non-Tribal,No,NA,1199,713,712,321,224,0,0,545,523,190,230,No
TAMIL NADU,NAMAKKAL,PALLIPALAYAM,KALIYANOOR AGRAHARAM,Non-Tribal,No,NA,336,330,265,262,262,3,0,527,265,50,55,No
TAMIL NADU,THANJAVUR,AMMAPETTAI,MAHIMALAI,Non-Tribal,No,NA,323,244,244,71,180,0,0,251,182,98,100,No
TAMIL NADU,THANJAVUR,ORATHANADU,PARAVATHUR,Non-Tribal,No,NA,324,278,239,100,50,100,0,250,200,20,100,No
TAMIL NADU,THANJAVUR,ORATHANADU,KODIYALAM,Non-Tribal,No,NA,199,180,150,100,100,0,0,200,100,20,100,No
TAMIL NADU,THANJAVUR,THIRUPANANDAL,NEIVASAL,Non-Tribal,No,NA,255,194,157,60,110,10,0,180,157,21,40,No
TAMIL NADU,THANJAVUR,THIRUPANANDAL,PANDANALLUR,Non-Tribal,No,NA,315,253,239,137,97,5,0,239,236,16,16,No
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,ITCHIKOTTAI 2 BIT,Non-Tribal,No,NA,488,192,159,0,159,0,0,159,159,12,12,No
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,AMBAL,Non-Tribal,No,NA,1030,440,317,0,317,0,0,317,317,10,10,No
TAMIL NADU,THANJAVUR,BUDHALUR,PALAYAPATTISOUTH,Non-Tribal,No,NA,1308,736,343,0,0,343,0,343,343,60,60,No
TAMIL NADU,TIRUNELVELI,VALLIOOR,SADAYANERI,Tribal,No,NA,5,0,0,0,0,0,0,0,0,13,16,Not Known
TAMIL NADU,TIRUNELVELI,RADHAPURAM,THERKU KALLIKULAM,Non-Tribal,No,NA,5,0,0,0,0,0,0,0,0,60,70,Not Known
TAMIL NADU,PUDUKKOTTAI,AVUDAYARKOIL,CHEPPAVAYAL,Non-Tribal,No,NA,240,113,72,0,72,0,0,72,72,10,10,No
TAMIL NADU,THANJAVUR,THIRUVONAM,KADUVETTI VIDUTHI,Non-Tribal,No,NA,806,405,368,80,153,200,15,448,358,20,45,No
TAMIL NADU,THANJAVUR,BUDHALUR,PALAMARNERY,Non-Tribal,Yes,CMP,471,343,302,271,5,11,118,405,302,100,100,No
TAMIL NADU,SALEM,GANGAVALLI,NADUVALUR SOUTH,Non-Tribal,No,NA,866,679,593,296,272,13,12,593,593,12,18,No
TAMIL NADU,THANJAVUR,ORATHANADU,PALAMPUTHUR,Non-Tribal,No,NA,560,0,0,0,0,0,0,0,0,10,35,Not Known
TAMIL NADU,PUDUKKOTTAI,PUDUKKOTTAI,THATTAMPATTI,Non-Tribal,No,NA,137,93,6,2,2,1,1,6,6,15,15,No
TAMIL NADU,TIRUNELVELI,KALAKAD,PADALAIYARKULAM,Non-Tribal,No,NA,676,288,205,35,61,10,0,106,106,1,10,No
TAMIL NADU,THANJAVUR,THIRUPANANDAL,KULASEKARANALLAR,Non-Tribal,No,NA,360,220,166,44,104,15,10,173,158,30,40,No
TAMIL NADU,KANCHEEPURAM,TIRUPORUR,SIRUCHERI,Non-Tribal,No,NA,6037,100,97,25,25,10,37,97,97,10,50,No
TAMIL NADU,PUDUKKOTTAI,PUDUKKOTTAI,NATHAMPANNAI,Non-Tribal,No,NA,784,784,784,196,196,196,196,784,784,15,15,No
TAMIL NADU,PUDUKKOTTAI,PUDUKKOTTAI,PUDUKKOTTAI NORTH,Non-Tribal,No,NA,388,171,170,42,42,42,44,170,170,15,15,No
TAMIL NADU,SALEM,GANGAVALLI,JANGAMASAMUDRAM,Non-Tribal,No,NA,369,301,295,102,125,28,40,295,295,12,16,Yes
