state_name,district_name,block_tehsil_name,village_name,ref_village_type_name,major_medium_scheme,major_medium_scheme_name,geographical_area,cultivable_area,net_sown_area,gross_irrigated_area_kharif_season,gross_irrigated_area_rabi_season,gross_irrigated_area_perennial_season,gross_irrigated_area_other_season,gross_irrigated_area_total,net_irrigated_area,avg_ground_water_level_pre_monsoon,avg_ground_water_level_post_monsoon,ref_selection_wua_exists_name
TAMIL NADU,ERODE,CHENNIMALAI,MUKASIPIDARIYUR-B,Non-Tribal,No,NA,827,765,119,39,39,39,0,117,117,50,50,No
TAMIL NADU,TIRUNELVELI,CHERANMAHADEVI,DESAMANICKAM,Non-Tribal,Yes,KANNADIAN KAL,188,135,135,25,100,15,0,140,135,12,12,Yes
TAMIL NADU,VILLUPPURAM,MELMALAIYANUR,SINTHAGAMPOONDI,Non-Tribal,No,NA,255,207,193,110,14,2,0,126,126,15,15,No
TAMIL NADU,CUDDALORE,ANNAGRAMAM,KANISAPPAKKAM,Non-Tribal,No,NA,274,204,189,75,78,51,0,204,189,52,52,No
TAMIL NADU,VIRUDHUNAGAR,SATTUR,SINDHUVAMPATTI,Non-Tribal,No,NA,361,276,55,0,55,0,0,55,55,20,25,No
TAMIL NADU,VIRUDHUNAGAR,VIRUDHUNAGAR,VEPPELAIPATTI,Non-Tribal,Yes,BWD KANMAYEE,656,280,280,5,280,0,0,285,280,20,25,No
TAMIL NADU,VIRUDHUNAGAR,SATTUR,OVAYANAICKENPATTI,Non-Tribal,No,NA,670,605,157,0,39,6,0,45,45,20,25,No
TAMIL NADU,VIRUDHUNAGAR,SATTUR,UMATHAMPATTI,Non-Tribal,No,NA,212,192,65,0,24,4,0,28,28,20,25,No
TAMIL NADU,ERODE,CHENNIMALAI,SIRUKALANJI,Non-Tribal,No,NA,1166,1071,777,250,250,250,0,750,750,100,100,No
TAMIL NADU,THANJAVUR,PATTUKOTTAI,NADUVIKKOTTTAI,Non-Tribal,Yes,CMP,643,574,574,20,455,99,0,574,574,8,60,No
TAMIL NADU,MADURAI,MADURAI WEST,SAMBAKULAM,Non-Tribal,Yes,TN TAMP SATHAIYARU ,63,51,49,27,12,10,0,49,49,3,5,No
TAMIL NADU,THOOTHUKUDI,TIRUCHENDUR,MOOLAKARAI,Tribal,No,NA,186,174,169,3,130,6,0,139,139,1,1,Yes
TAMIL NADU,MADURAI,MADURAI WEST,VAIRAVANATHAM,Non-Tribal,Yes,TN IAMP SATHAIYARU NILLAKOTTAM,33,30,18,3,10,5,0,18,18,6,10,No
TAMIL NADU,ARIYALUR,ARIYALUR,PERIATIRUKKONAM,Non-Tribal,No,NA,821,140,60,20,10,7,0,37,37,80,60,Not Known
TAMIL NADU,ARIYALUR,THIRUMANUR,KILAKAVATTANKURICHI,Non-Tribal,No,NA,1135,828,828,172,655,34,0,861,828,40,30,No
TAMIL NADU,PUDUKKOTTAI,GANDARVAKKOTTAI,NAMBURANPATTI,Non-Tribal,No,NA,541,526,526,375,107,44,0,526,526,15,15,No
TAMIL NADU,VILLUPPURAM,MUGAIYUR,KALLANDAL,Non-Tribal,Yes,SELVANDHAL YERI,362,270,115,84,96,3,0,183,105,3,10,No
